,0,1,2,3,4,5,6,7,8,9
S24_2013_11546506,0.00039689475101310583,0.0003969044838908733,0.00039695159168321906,0.00039697275422435544,0.587263334343364,0.0003969100276274463,0.00039688940204948907,0.00039692714600521604,0.0003969210254170295,0.4095612944747253
S24_2013_11913335,0.00021012333293293683,0.0002101421939109378,0.9926906898486753,0.00021013307417550855,0.00021014330323054125,0.0002101596531584408,0.0056281646762990425,0.00021016724717831502,0.0002101257550531514,0.0002101509153859348
S24_2013_11439371,0.04872502268493043,0.00035099561690556287,0.00035096949244016413,0.2494771514939984,0.0935189290960783,0.0003509875710993399,0.11417888466027279,0.07687722233994712,0.3961344065206016,0.020035430523726357
S24_2013_11510177,0.016689020915228434,0.000358499051848987,0.00035848951160636684,0.8650830305727595,0.0003585281573684965,0.0003585197305054326,0.0003585604347261967,0.00035855630911411083,0.11571829983326302,0.000358495483579366
S24_2013_11825951,0.19699127689352747,0.00023370559572984917,0.33526892926417534,0.00023371227233924787,0.00023373493900186897,0.0002337174991203066,0.42684717646993997,0.00023371052287498486,0.03949033905890636,0.00023369748438458149
S24_2013_11202845,0.7135282348685331,0.00020795953142269195,0.2044163337027425,0.05230947206531414,0.02849825423297776,0.0002079545269321229,0.0002079313867412504,0.00020795372286467868,0.0002079546969497444,0.00020795126552195208
S24_2013_11780806,0.06916956462652257,0.11450216964756206,0.00034492469566758455,0.44463888372147103,0.36961988490886183,0.0003449089293170408,0.0003449090610436089,0.00034491998892201124,0.0003449235938736433,0.00034491082675867007
S24_2013_11787114,0.0004116461056964684,0.00041162703176562493,0.0004116096871853162,0.00041163972779491943,0.2043446412520657,0.4265329352272352,0.00041163897519954105,0.031203721385097694,0.0004116164566237106,0.33544892415133576
S24_2013_11154896,0.00014433415555580639,0.05680494541378329,0.06480423601509415,0.039687245971024125,0.00014434589749708746,0.00014433210610402983,0.00014433012790498938,0.00014434504546577504,0.05363092467638204,0.7843509605911887
S24_2013_11415029,0.04403008535033241,0.00033119526170497876,0.14093769360338704,0.10012630811985876,0.2904235289703268,0.14909949096048747,0.0003311956063369547,0.00033121980330124144,0.15819467726113307,0.11619460506313141
S24_2013_11395792,0.024046033002016343,0.0002646220525720794,0.00026463251569221294,0.00026460267520471225,0.05137846390558418,0.00026460696091462025,0.9227232032529223,0.00026461227932978864,0.00026461249905771183,0.0002646108567059337
S24_2013_11873542,0.01724379462685599,0.913239577437472,0.00026814899394425536,0.0002681516733806521,0.035298483675707086,0.0002681455693732136,0.0002681319622862374,0.03260926294060333,0.0002681523060484354,0.000268150814328836
S24_2013_11608412,0.11136420303692825,0.750132048236983,0.05538889779806707,0.0002890905928714445,0.08138031841794596,0.00028909482300005455,0.00028905675160416274,0.000289089838259799,0.00028910198374052003,0.0002890985205996285
S24_2013_11662755,0.10930549616626405,0.00025580643996415676,0.49609388224454803,0.03842878306075296,0.00025579936571396895,0.00025581021509969194,0.20523912032101868,0.0002557988471846889,0.00025581542812514986,0.14965368791132871
S24_2013_11441983,0.00016897324358218632,0.9984794208740122,0.00016895058065825847,0.00016894326763516236,0.00016896219242275027,0.0001689509560186907,0.00016894175188486978,0.00016894729567193447,0.00016894922721488547,0.0001689606108992131
S24_2013_11866265,0.0002494303059482825,0.0002494465394267239,0.00024944800119359523,0.35475847082156925,0.5934542066503826,0.00024942219907342854,0.00024942347317540936,0.00024941738312719727,0.05004129701999221,0.0002494376061113908
S24_2013_11571767,0.00022732221212955846,0.6243277837465214,0.00022732324375634918,0.00022733376652670173,0.27713566441519,0.00022733027534900397,0.00022731285625100396,0.00022737499053015033,0.09694522744199613,0.00022732705174964872
S24_2013_4069509,0.00034490057942928524,0.00034490863124397175,0.0003449056279324631,0.0003449300278662077,0.000344924074072442,0.0003449205653178059,0.00034487740528454247,0.00034506900690927717,0.00034491777928360616,0.9968956463026605
S24_2013_11360755,0.10276867604015995,0.00028741000391352184,0.7171998707446088,0.0002873951727573923,0.0002874118869110628,0.0002874424510102712,0.17801952772345153,0.0002874249508143093,0.0002874180618263798,0.00028742296454660867
S24_2013_11286801,0.0003425397801777492,0.000342542685353305,0.0003425764474009564,0.610111749678429,0.10772289120504476,0.0003425415979958545,0.00034256520999205556,0.0003425356220974056,0.27976751089341256,0.0003425468800963627
S24_2013_11290007,0.7739324600748594,0.00913065520321403,0.0001698196078012642,0.00016981802164772893,0.00016982804479248012,0.00016981737149091648,0.00016981315913837362,0.08353079731524046,0.1323871574030767,0.00016983379873860793
S24_2013_11656335,0.00016055250000682542,0.17892042216810475,0.00016054448602523735,0.4010163528447959,0.00016054447840332752,0.41893936214375016,0.00016056730429215522,0.0001605403452180924,0.00016056196699013796,0.00016055176241331216
S24_2013_11402957,0.00015459898586068336,0.000154589347927726,0.5285622692670503,0.0001545883365423571,0.00015459237166584505,0.00015458554846221274,0.06050212143147937,0.36728443008001727,0.04272363920263177,0.00015458542836267833
S24_2013_11326255,0.00033792572461174223,0.0003379136175633231,0.18922018596104911,0.04726780246787446,0.0003379345142456395,0.19356527458946757,0.00033787996643577854,0.0003379295288073287,0.5138974379896198,0.05435971564032517
S24_2013_11015127,0.0004386715683100848,0.0004386706793921341,0.000438670530766718,0.4506445000489841,0.17723616104914536,0.00043866257515353595,0.00043865463233099645,0.0004386777933021118,0.36904866076143744,0.00043867036117749226
S24_2013_11575808,0.00027403228348006885,0.0002740274866120217,0.0002740267537692766,0.13666017012544826,0.1751862367370281,0.00027406859022316,0.0002740148405151883,0.0002740385559280658,0.6862353514530781,0.0002740331739176901
