,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
S24_2013_11213182,0.00014792899646270583,0.014871358282274285,0.8114598989026945,0.05362086308908061,0.00014792899846010544,0.030185397356140897,0.00014792899785612723,0.0001479289975467887,0.00014792899751124916,0.015540812752866298,0.0001479289960938588,0.00014792899679765836,0.00014792899766988214,0.00014792899748644525,0.00014792899720854629,0.000147928996419993,0.07225066365659209,0.00014792899657648203,0.00014792899797851615,0.0001479289962829204
S24_2013_11842651,0.00018796992823688066,0.00018796992867686,0.00018796992883254103,0.0001879699288302465,0.0001879699300447638,0.00018796992769280313,0.00018796992709837728,0.00018796992796080918,0.00018796992838710687,0.9964285713598912,0.0001879699307464295,0.0001879699266965769,0.0001879699280712675,0.0001879699293228735,0.00018796992932867726,0.00018796992798313607,0.00018796992860417014,0.0001879699270568574,0.00018796992852370724,0.00018796992801482125
S24_2013_8789495,0.2095308999276853,0.00022321429076586555,0.00022321428919031566,0.00022321429056990053,0.00022321428955513972,0.33410329610332384,0.00022321429099165854,0.000223214291655208,0.05808733642862286,0.2061087248262223,0.00022321429031580135,0.00022321429420544146,0.00022321428897597543,0.00022321428870950033,0.00022321429121954426,0.000223214288956603,0.04741157191141292,0.00022321428718952925,0.00022321429055680941,0.14163317073987555
S24_2013_11488901,0.00010245901859808167,0.00010245901762276112,0.8450620457789776,0.00010245901813517231,0.00010245901774984706,0.00010245901804589265,0.00010245901805691981,0.00010245901846346737,0.00010245901862857148,0.00010245901883649865,0.00010245901807608073,0.00010245901760678637,0.0001024590180137481,0.00010245901938333581,0.00010245901846315058,0.009054181964618999,0.14414196894587386,0.00010245901729715773,0.00010245901846522681,0.00010245901908673698
S24_2013_11528434,0.00011111111464572411,0.00011111111354264785,0.00011111111362765191,0.00011111111293552882,0.00011111111263682504,0.00011111111300012853,0.00011111111237962942,0.00011111111313515749,0.7112188112840064,0.02705129456083714,0.00011111111332609939,0.00011111111234411688,0.00011111111418290663,0.00011111111279619113,0.08216504724101015,0.00011111111335805912,0.1253164602772397,0.00011111111197806847,0.00011111111330380945,0.05258171993971411
S24_2013_11778856,0.00016286645169821278,0.00016286645206207276,0.04521087944195039,0.00016286645184763262,0.00016286645193329272,0.00016286645285248412,0.00016286645233302893,0.00016286645361234388,0.0001628664539257797,0.7024115417910531,0.00016286645193653616,0.00016286645086302672,0.012942055719690532,0.0001628664519003427,0.23682965980762077,0.00016286645308004685,0.0001628664534992764,0.00016286645250599338,0.00016286645339679708,0.00016286645223827426
S24_2013_11887877,0.000194552533749622,0.00019455253157297698,0.00019455253379223526,0.00019455253282759386,0.023157235276132365,0.00019455253368929481,0.00019455253300592872,0.00019455253312560843,0.11849560400285235,0.00019455253459479697,0.00019455253425836052,0.00019455253416759215,0.14505500547629316,0.00019455253475028205,0.6546123759113454,0.024058873919698468,0.00019455253316009926,0.0001945525334039701,0.03189716994304575,0.00019455253453418681
S24_2013_11902465,0.0001851851884474169,0.00018518518712760677,0.00018518518884519817,0.17857158550196597,0.09243444536774578,0.00018518518908907877,0.00018518519039753057,0.00018518518868322089,0.0001851851884357545,0.00018518518853883438,0.00018518518979682066,0.00018518518727617808,0.10832998915539101,0.00018518518868287332,0.00018518518828824153,0.00018518518880783965,0.3257203653909205,0.29216583675185864,0.00018518519056127171,0.0001851851891400815
S24_2013_11882591,0.0002293578015879341,0.00022935780279755236,0.00022935780267993865,0.0002293578012131507,0.0002293578030189093,0.00022935780360633577,0.000229357800750378,0.00022935780232632492,0.00022935780327304578,0.9956422017638044,0.00022935780122625949,0.00022935780085906723,0.00022935780212854858,0.0002293578004159529,0.00022935780310018593,0.0002293578009145302,0.0002293578023828418,0.00022935780035738447,0.0002293578020360601,0.00022935780152119514
S24_2013_11929305,0.00011904762132275377,0.00011904762043065584,0.00011904762286226621,0.0001190476217569562,0.00011904762079761514,0.00011904762144794344,0.00011904762117039884,0.0001190476218455668,0.0001190476216306234,0.7489773253974181,0.00011904762153225475,0.00011904762081201048,0.00011904762110328474,0.1841994750136577,0.014235113821214137,0.033058626494823835,0.017743744952486602,0.00011904762157655198,0.00011904762110724411,0.00011904762100339451
