,0,1,2,3,4,5,6
S24_2013_11873542,0.9603597817489751,0.000385051414882062,0.0003839925616256997,0.0003841720795206041,0.00038418574663756893,0.03771879755662671,0.0003840188917321506
S24_2013_11608412,0.7313245825754557,0.0540454169321928,0.00041419631316455763,0.00041447940623105784,0.21297201940191904,0.0004145211031667368,0.0004147842678702821
S24_2013_11662755,0.4653918829116293,0.027322551925810304,0.00036747918672742246,0.44107369344608854,0.027292638723229033,0.00036721046732307,0.038184543339192266
S24_2013_11441983,0.9700066836341115,0.013723241319925698,0.015302088469024196,0.00024199156354158332,0.00024197983681730127,0.0002420411496444322,0.00024197402693525069
S24_2013_11866265,0.0003575866725677149,0.7352935194582527,0.0003577890034925284,0.00035771124583774624,0.26291830102509445,0.00035749900007716603,0.00035759359467787434
S24_2013_11571767,0.5513269654201503,0.3378532674717575,0.10951597873477685,0.00032591271243388807,0.00032580849075059735,0.00032620744433631255,0.0003258597257946264
S24_2013_4069509,0.0004949185835395824,0.000494626486392526,0.04270478379006796,0.14986561126266298,0.0004941409339585139,0.0004949048048610475,0.8054510141385175
S24_2013_11360755,0.04909715391922273,0.0004115095780854435,0.11835815431282726,0.0004120037272753643,0.8308976026834067,0.0004116724322919672,0.00041190334689046414
S24_2013_11286801,0.0004907936559446332,0.8467588282154843,0.01153876287104964,0.07018289763826191,0.056360593910032064,0.000491144913487764,0.01417697879573973
S24_2013_11290007,0.00976507055943081,0.0002436050760958159,0.00024343186794403178,0.050259651419969784,0.6651159231919818,0.16370532107807276,0.11066699680650513
S24_2013_11656335,0.3098483511586363,0.00023017060876488705,0.00022991357986340623,0.6890014592519649,0.0002299071258433858,0.0002300837803475286,0.0002301144945797507
S24_2013_11402957,0.6374987443374809,0.0002216374192058325,0.00022144242330563197,0.00022161499808202303,0.3169863612803019,0.00022160920767769424,0.04462859033394586
S24_2013_11326255,0.053680190251680554,0.0004847854550205355,0.0004844066714206371,0.7764926609910351,0.09986801599176927,0.0004842962399233235,0.06850564439915048
S24_2013_11015127,0.0006281944264832938,0.6967090198722793,0.023973291449871228,0.0006293478292428138,0.01245906999533625,0.20191247308978338,0.06368860333700381
S24_2013_11575808,0.007807478691283014,0.7934730876741741,0.020517105247229696,0.0003927588640787396,0.00039282336947252906,0.05564666755305898,0.12177007860070314
S24_2013_11737324,0.0004275341661448732,0.14666085467988335,0.0004275972537426399,0.0004280864422555914,0.00042780819264052724,0.1961426766084343,0.6554854426568987
S24_2013_11297631,0.00033277359709065813,0.6418341734697381,0.0003324840957486669,0.0003329822678943725,0.08425928832423686,0.2725756719034058,0.0003326263418853527
S24_2013_11884807,0.00021807202446604026,0.08778900050424138,0.13595992481513602,0.48380192270252365,0.2843343258017664,0.00021789001476368324,0.00767886413710292
S24_2013_11295877,0.0004387378442354182,0.4217165482459311,0.00043854525819108015,0.5415587031146789,0.0349704508949643,0.00043849434909386297,0.0004385202929054086
S24_2013_11783821,0.05806154655501778,0.023524790709252057,0.00021210335129756813,0.00021161405939102527,0.6995689316935103,0.00021165608539099032,0.21820935754614038
S24_2013_8277275,0.26908887525739966,0.0006440098691652954,0.0006429737055473699,0.0006424219837984981,0.041151189100784795,0.6871877383481949,0.0006427917351095461
S24_2013_11595043,0.0003733656287660605,0.3740075674229166,0.00037293434975836653,0.09511977593804548,0.00037358587060708426,0.0003733878314632999,0.529379382958443
S24_2013_11951692,0.6340486271528656,0.048043424653270154,0.0003754258370457954,0.0003751068485169456,0.3164066532992152,0.00037533512424684314,0.00037542708483949286
S24_2013_10547763,0.0675495389673884,0.00025668869656196596,0.1093978486222783,0.051552357578787775,0.4468544509002485,0.324131943499029,0.000257171735705971
S24_2013_11385582,0.4273271181645892,0.4890791863761036,0.030051862733753227,0.015640915933793433,0.03739269257515482,0.00025416604469896963,0.0002540581719069434
S24_2013_11563383,0.633857161233514,0.0003624571730266666,0.00036203344018525825,0.1260034794811191,0.2386909484976787,0.00036186128346743117,0.00036205889100886295
S24_2013_11406564,0.00026757337291656537,0.998393264920968,0.00026799537298221964,0.00026798814947541185,0.0002676173921676759,0.0002679571440422833,0.0002676036474478264
